Replicates	Seeds
1	3852234
2	6469733
3	1615613
4	5757329
5	9508221
6	8419366
7	3356463
8	5874144
9	8476373
10	3010596
11	6733269
12	5456650
13	8940232
14	571883
15	9762020
16	8659315
17	8431312
18	1808499
19	9792392
20	2526438
21	2924875
22	3691031
23	6952684
24	5128082
25	4158494
26	2676612
27	9329116
28	7342773
29	1849661
30	425151
31	7688623
32	220050
33	7110007
34	9685442
35	2435870
36	6370535
37	1027046
38	1754063
39	7911674
40	5838533
41	2356645
42	8208026
43	8211896
44	9895629
45	9703521
46	8550543
47	3272733
48	7603480
49	771998
50	1009126
